0,What year was the first iPhone released?,2004,2007,2010,1
1,Which natural disaster is measured with a Richter scale?,Earthquake,Tsunami,Tornado,0
2,Night Crawler, member of the X-men has what kind of powers?,Teleportation,Flight,Invisibility,0
3,What is the name of the world's longest river?,The Mississippi,The Nile,The Amazon,1
4,When is Chinese New Year celebrated?,15th January,1st February,25th January,2
5,What was the name of the group Justin TImberlake used to be apart of?,N'SYNC,Backstreet Boys,One Direction,0
6,Which country did AC/DC originate in?,UK,Australia,Canada,1
7,When was the company Nike founded?,1981.1971,1979,1
8,What is the name of the fourth book in the Harry Potter serise?,The Goblet of Fire, The Prisoner of Askaban, The Order of the Phoenix,0
9,How many Lord of the Rings films ar there?,3,4,5,0
10,What is the popular song sung by Elsa in Frozen?,Love is an Open Door, How Far I'll Go, Let It Go,2
11,Which actor appears in the films 'Face Off' and 'Ghost Rider'?,Jason Statham,Nicholas Cage,Dwayne Johnson,1
12,How many gold medals did Micheal Phelps win in the 2008 Olympics?,4,6,8,2
13,How many cards are there in a deck of Uno?,98,108,118,1
14,What is the collective name for a group of crows?,Murder,Flock,Cloud,0
15,What colour is a giraffe's tongue?,Yellow,Pink,Blue,2
16,How many time zones are there in Russia?,1,6,11,2
17,When was the first issue of Vogue published?,1912,1892,1946,1
18,What is a baby rabbit called?,Bunny,Kit,Pup,1
19,Where does the cheese brie originate from?,Italy,Germany,France,2
20,What is the 100th digit of Pi?7,8,9,2
21,Which ocean borders the west coast of the United States?,Pacific,Indian,Atlantic,0
22,How did Spider-Man get his powers?,Born with them,Bitten by a spider,Experiment gone wrong,1
23,What is the color of Donald Duck’s bowtie?,Red,Black,Blue,0
24,In Pirates of the Caribbean, what was Captain Jack Sparrow’s ship’s name?,The Black Pearl,The Marauder,The Black Python,0
25,One Direction was made up of Harry, Louis, Niall, Zayn, and?,Joe,Liam,Keven,1
26,What is the rarest blood type?,AB-Negative,O,A,0
27,Which U.S. state is known as the sunflower state?,Florida,California,Kansas,2
28,Which of these characters is not apart of the Friends group?,Ross,Gunther,Rachel,1
29,Fe is the chemical symbol for?,Iron,Fluorine,Zinc,0
30,How old do you have to be to enter the hunger games?,12,14,16,0
31,In which state did the Salem Witch Trials take place?,Virginia,Pennsylvania,Massachusetts,2
32,What New York City building is the tallest?,Statue of Liberty,One World Trade Center,Empire State Building,1
33,Which country consumes the most chocolate?,Denmark,Germany,Switzerland,2
34,What famous singer sings with Taylor Swift in her song “Me!”?,Brendon Urie,Shawn Mendes,Halsey,0
